subjectID,age,gender,block_i,trial_i,go_cue,block,fixation_duration,blank_interval,response,rt,correct,inter_trial_interval,focus,Fullscreen,time_elapsed,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution
l4va,null,null,0,1,left,practice,600,0,leftarrow,748,true,1400,focus,yes,43993,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,2,right,practice,600,0,rightarrow,481,true,1500,focus,yes,48846,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,3,left,practice,600,0,leftarrow,346,true,1300,focus,yes,53160,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,4,right,practice,600,0,rightarrow,347,true,1300,focus,yes,57479,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,5,left,practice,600,0,leftarrow,316,true,1300,focus,yes,61772,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,6,right,practice,600,0,rightarrow,360,true,1400,focus,yes,66306,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,7,left,practice,600,0,leftarrow,378,true,1500,focus,yes,71059,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,8,right,practice,600,0,rightarrow,343,true,1300,focus,yes,75381,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,9,right,practice,600,0,rightarrow,509,true,1500,focus,yes,80268,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,10,left,practice,600,0,leftarrow,377,true,1500,focus,yes,85018,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,11,right,practice,600,0,rightarrow,482,true,1400,focus,yes,89677,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,12,left,practice,600,0,leftarrow,563,true,1400,focus,yes,94419,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,13,right,practice,600,0,rightarrow,327,true,1100,focus,yes,98321,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,14,left,practice,600,0,leftarrow,465,true,1200,focus,yes,102569,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,15,left,practice,600,0,leftarrow,459,true,1100,focus,yes,106608,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,16,right,practice,600,0,rightarrow,368,true,1100,focus,yes,110543,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,17,right,practice,600,0,rightarrow,718,true,1500,focus,yes,115657,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,18,left,practice,600,0,leftarrow,448,true,1400,focus,yes,120280,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,19,left,practice,600,0,leftarrow,443,true,1200,focus,yes,124488,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,0,20,right,practice,600,0,rightarrow,360,true,1500,focus,yes,129220,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,21,left,fixed-filled,600,0,leftarrow,695,true,1500,focus,yes,143713,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,22,right,fixed-filled,600,0,rightarrow,315,true,1300,focus,yes,147244,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,23,right,fixed-filled,600,0,rightarrow,496,true,1100,focus,yes,150558,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,24,left,fixed-filled,600,0,leftarrow,299,true,1300,focus,yes,154076,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,25,right,fixed-filled,600,0,rightarrow,350,true,1300,focus,yes,157646,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,26,left,fixed-filled,600,0,leftarrow,557,true,1000,focus,yes,160817,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,27,left,fixed-filled,600,0,leftarrow,446,true,1100,focus,yes,164080,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,28,right,fixed-filled,600,0,rightarrow,311,true,1400,focus,yes,167814,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,29,right,fixed-filled,600,0,rightarrow,403,true,1300,focus,yes,171431,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,30,left,fixed-filled,600,0,leftarrow,327,true,1300,focus,yes,174976,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,31,right,fixed-filled,600,0,rightarrow,312,true,1300,focus,yes,178509,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,32,left,fixed-filled,600,0,leftarrow,328,true,1300,focus,yes,182056,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,33,left,fixed-filled,600,0,leftarrow,446,true,1100,focus,yes,185318,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,34,right,fixed-filled,600,0,rightarrow,390,true,1400,focus,yes,189117,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,35,left,fixed-filled,600,0,leftarrow,326,true,1400,focus,yes,192853,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
l4va,null,null,1,36,right,fixed-filled,600,0,rightarrow,418,true,1200,focus,yes,196283,Chrome,88.0,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
