subjectID,age,gender,block_i,trial_i,go_cue,block,fixation_duration,blank_interval,response,rt,correct,inter_trial_interval,focus,Fullscreen,time_elapsed,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution
3rnq,null,null,0,1,left,practice,600,0,leftarrow,607,TRUE,1400,focus,yes,757722,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,2,right,practice,600,0,rightarrow,411,TRUE,1500,focus,yes,762514,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,3,left,practice,600,0,leftarrow,520,TRUE,1300,focus,yes,767002,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,4,right,practice,600,0,rightarrow,391,TRUE,1100,focus,yes,770970,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,5,left,practice,600,0,rightarrow,367,FALSE,1000,focus,yes,774711,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,6,right,practice,600,0,rightarrow,653,TRUE,1000,focus,yes,778737,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,7,right,practice,600,0,rightarrow,579,TRUE,1000,focus,yes,782680,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,8,left,practice,600,0,leftarrow,811,TRUE,1000,focus,yes,786861,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,9,right,practice,600,0,rightarrow,423,TRUE,1100,focus,yes,790855,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,10,left,practice,600,0,leftarrow,409,TRUE,1400,focus,yes,795442,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,11,left,practice,600,0,leftarrow,465,TRUE,1400,focus,yes,800071,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,12,right,practice,600,0,rightarrow,293,TRUE,1100,focus,yes,803930,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,13,left,practice,600,0,leftarrow,443,TRUE,1300,focus,yes,808336,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,14,right,practice,600,0,rightarrow,534,TRUE,1200,focus,yes,812646,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,15,left,practice,600,0,leftarrow,526,TRUE,1200,focus,yes,816944,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,16,right,practice,600,0,rightarrow,442,TRUE,1000,focus,yes,820752,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,17,left,practice,600,0,leftarrow,337,TRUE,1100,focus,yes,824652,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,18,right,practice,600,0,rightarrow,624,TRUE,1200,focus,yes,829039,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,19,left,practice,600,0,leftarrow,425,TRUE,1400,focus,yes,833634,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,0,20,right,practice,600,0,rightarrow,389,TRUE,1300,focus,yes,837989,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,21,right,fixed-filled,600,0,rightarrow,529,TRUE,1500,focus,yes,1596473,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,22,left,fixed-filled,600,0,leftarrow,332,TRUE,1000,focus,yes,1599414,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,23,left,fixed-filled,600,0,leftarrow,346,TRUE,1500,focus,yes,1603370,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,24,right,fixed-filled,600,0,rightarrow,339,TRUE,1500,focus,yes,1607318,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,25,right,fixed-filled,600,0,rightarrow,439,TRUE,1200,focus,yes,1610770,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,26,left,fixed-filled,600,0,leftarrow,635,TRUE,1500,focus,yes,1615012,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,27,right,fixed-filled,600,0,rightarrow,493,TRUE,1000,focus,yes,1618114,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,28,left,fixed-filled,600,0,leftarrow,433,TRUE,1100,focus,yes,1621358,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,29,right,fixed-filled,600,0,rightarrow,334,TRUE,1000,focus,yes,1624304,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,30,left,fixed-filled,600,0,leftarrow,413,TRUE,1200,focus,yes,1627728,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,31,right,fixed-filled,600,0,rightarrow,527,TRUE,1100,focus,yes,1631066,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,32,left,fixed-filled,600,0,leftarrow,452,TRUE,1300,focus,yes,1634730,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,33,right,fixed-filled,600,0,rightarrow,393,TRUE,1500,focus,yes,1638739,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,34,left,fixed-filled,600,0,leftarrow,389,TRUE,1500,focus,yes,1642744,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,35,left,fixed-filled,600,0,leftarrow,584,TRUE,1000,focus,yes,1645939,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,36,right,fixed-filled,600,0,rightarrow,386,TRUE,1100,focus,yes,1649138,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,37,right,fixed-filled,600,0,rightarrow,417,TRUE,1400,focus,yes,1652972,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,38,left,fixed-filled,600,0,leftarrow,574,TRUE,1300,focus,yes,1656757,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,39,left,fixed-filled,600,0,leftarrow,647,TRUE,1100,focus,yes,1660220,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,40,right,fixed-filled,600,0,rightarrow,291,TRUE,1300,focus,yes,1663729,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,41,right,fixed-filled,600,0,rightarrow,350,TRUE,1000,focus,yes,1666684,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,42,left,fixed-filled,600,0,leftarrow,374,TRUE,1300,focus,yes,1670273,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,43,left,fixed-filled,600,0,leftarrow,533,TRUE,1000,focus,yes,1673419,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,44,right,fixed-filled,600,0,rightarrow,514,TRUE,1200,focus,yes,1676939,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,45,left,fixed-filled,600,0,leftarrow,327,TRUE,1500,focus,yes,1680874,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,46,right,fixed-filled,600,0,rightarrow,329,TRUE,1500,focus,yes,1684814,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,47,left,fixed-filled,600,0,leftarrow,427,TRUE,1500,focus,yes,1688848,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,48,right,fixed-filled,600,0,rightarrow,395,TRUE,1400,focus,yes,1692654,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,49,left,fixed-filled,600,0,leftarrow,277,TRUE,1100,focus,yes,1695744,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,50,right,fixed-filled,600,0,rightarrow,415,TRUE,1300,focus,yes,1699375,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,51,left,fixed-filled,600,0,leftarrow,389,TRUE,1200,focus,yes,1702780,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,52,right,fixed-filled,600,0,rightarrow,429,TRUE,1400,focus,yes,1706622,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,53,left,fixed-filled,600,0,leftarrow,666,TRUE,1000,focus,yes,1709900,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,54,right,fixed-filled,600,0,rightarrow,387,TRUE,1100,focus,yes,1713106,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,55,right,fixed-filled,600,0,rightarrow,389,TRUE,1500,focus,yes,1717103,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,56,left,fixed-filled,600,0,leftarrow,661,TRUE,1200,focus,yes,1720774,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,57,right,fixed-filled,600,0,rightarrow,348,TRUE,1200,focus,yes,1724131,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,58,left,fixed-filled,600,0,leftarrow,395,TRUE,1500,focus,yes,1728134,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,59,left,fixed-filled,600,0,leftarrow,382,TRUE,1400,focus,yes,1731937,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,60,right,fixed-filled,600,0,rightarrow,444,TRUE,1400,focus,yes,1735799,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,61,right,fixed-filled,600,0,rightarrow,615,TRUE,1100,focus,yes,1739230,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,62,left,fixed-filled,600,0,leftarrow,532,TRUE,1500,focus,yes,1743377,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,63,left,fixed-filled,600,0,leftarrow,418,TRUE,1200,focus,yes,1746815,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
3rnq,null,null,1,64,right,fixed-filled,600,0,rightarrow,462,TRUE,1100,focus,yes,1750094,Chrome,88,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
