subjectID,age,gender,block_i,trial_i,go_cue,block,fixation_duration,blank_interval,response,rt,correct,inter_trial_interval,focus,Fullscreen,time_elapsed,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution
o5p2,null,null,0,1,left,practice,600,0,leftarrow,627,true,1300,focus,yes,39824,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,2,right,practice,600,0,rightarrow,330,true,1200,focus,yes,43934,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,3,right,practice,600,0,rightarrow,384,true,1000,focus,yes,47704,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,4,left,practice,600,0,leftarrow,293,true,1400,focus,yes,52184,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,5,right,practice,600,0,rightarrow,296,true,1400,focus,yes,56664,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,6,left,practice,600,0,leftarrow,406,true,1300,focus,yes,61060,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,7,right,practice,600,0,rightarrow,361,true,1200,focus,yes,65209,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,8,left,practice,600,0,leftarrow,337,true,1300,focus,yes,69529,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,9,right,practice,600,0,rightarrow,310,true,1500,focus,yes,74229,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,10,left,practice,600,0,leftarrow,438,true,1500,focus,yes,79049,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,11,left,practice,600,0,rightarrow,319,false,1400,focus,yes,83540,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,12,right,practice,600,0,rightarrow,378,true,1200,focus,yes,87699,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,13,left,practice,600,0,leftarrow,399,true,1300,focus,yes,92090,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,14,right,practice,600,0,rightarrow,357,true,1200,focus,yes,96230,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,15,left,practice,600,0,leftarrow,397,true,1400,focus,yes,100810,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,16,right,practice,600,0,rightarrow,317,true,1500,focus,yes,105510,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,17,right,practice,600,0,rightarrow,377,true,1200,focus,yes,109670,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,18,left,practice,600,0,leftarrow,378,true,1300,focus,yes,114039,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,19,left,practice,600,0,leftarrow,438,true,1000,focus,yes,117860,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,0,20,right,practice,600,0,rightarrow,308,true,1500,focus,yes,122551,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,1,21,left,fixed-filled,600,0,leftarrow,355,true,1300,focus,yes,137011,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,1,22,right,fixed-filled,600,0,rightarrow,320,true,1300,focus,yes,140561,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,1,23,right,fixed-filled,600,0,rightarrow,294,true,1000,focus,yes,143471,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,1,24,left,fixed-filled,600,0,leftarrow,338,true,1100,focus,yes,146621,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
o5p2,null,null,1,25,left,fixed-filled,600,0,leftarrow,362,true,1000,focus,yes,149601,Chrome,89.0,Windows,10,undefined,undefined,1368 x 912,1368 x 912
